GeneName,log2FoldChange(WTC_kvsKOC_k),padj(WTC_kvsKOC_k),log2FoldChange(WTKvsKOK),padj(WTKvsKOK),log2FoldChange(WTC_k24vsKOC_k24),padj(WTC_k24vsKOC_k24),log2FoldChange(WTK24vsKOK24),padj(WTK24vsKOK24),log2FoldChange(KOC_kvsKOK),padj(KOC_kvsKOK),log2FoldChange(WTC_kvsWTK),padj(WTC_kvsWTK),log2FoldChange(KOC_k24vsKOK24),padj(KOC_k24vsKOK24),log2FoldChange(WTC_k24vsWTK24),padj(WTC_k24vsWTK24)
2810430I11Rik,-0.872038511,0,0,0,0,0,0,0,0,0,-0.018954224,0,0,0,0,0
Gm13563,-0.25748394,0.95313,-0.141906621,0.97506,2.113833811,0.56505,-2.119665683,0,0.45719632,0,0.324784298,0.8483,-1.670719675,0,2.578884597,0
Gm26918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmem176b,-0.08791027,0.80358,-0.366072075,0.39585,-0.425203998,0.74993,-0.477575162,0.025739,-0.574995819,0.010911,-0.314563894,0.069141,0.23591235,0.6003,0.303226097,0.83209
Aoc1,2.344277769,0.45079,-0.581026126,0.82941,1.064921633,0.79972,-0.786211631,0,-1.042002884,0,1.863675776,0.11153,-2.081412723,0,-0.213961274,0
1600015I10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aprt,-0.335211936,0.26645,-0.262900831,0.44287,-0.337997874,0.8547,0.302109586,0.2796,0.407891044,0.12174,0.317728521,0.044656,0.617419317,0.008918,-0.006942815,0.99788
Malsu1,-0.001913886,0.99791,-0.03503042,0.96611,0.176110338,0.91115,0.232399137,0.4726,0.373645109,0.21168,0.388735571,0.018147,0.326824836,0.3204,0.284606206,0.81945
Gpnmb,1.019725896,0.7573,-0.287853818,0,-4.537899022,0.28853,-0.028498615,0.99877,-0.107657851,0,1.185741709,0.42927,-0.478877369,0,-4.97266139,0.26129
Tra2a,0.167400009,0.63786,0.024429139,0.97659,-0.157184276,0.91587,-0.136445975,0.7292,0.043995062,0.87068,0.167942561,0.52487,0.014723898,0.98248,0.008304421,0.9971
Cdt1,-0.119957136,0.94548,0.239008864,0.80633,-0.707548931,0.7002,-0.473772562,0.36459,0.296813484,0.59221,-0.079194751,0.8414,0.518887917,0.52227,0.301088856,0.92495
Npy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snai3,-3.733029483,0,1.787561809,0,-1.806450735,0.78096,0.638039522,0,3.764015625,0,-1.783976502,0,0.674754576,0,-1.755106236,0
Runx1t1,0.541781066,0.88044,0.319039039,0,0.243699185,0.98169,-0.49057384,0,-0.32697283,0,-0.119540904,0.93084,-0.580828455,0,0.174101002,0
4930570N18Rik,1.146200865,0,0,0,1.458320133,0.81697,0.331068042,0,0,0,2.797199799,0.032824,-0.229338623,0,0.91397069,0
Bcl2l2,0.006587084,0.99218,-0.01481093,0.97849,0.208705816,0.87419,0.135858568,0.58496,-0.096957527,0.61766,-0.093623574,0.61833,-0.095501566,0.86068,-0.008680012,0.99724
Gm15722,-0.340145318,0.92138,-1.30389137,0,-0.111435072,0.99109,-0.113075581,0,-1.452460612,0,-0.512710209,0.63913,-0.159814062,0,-0.145055672,0
Trbd1,-1.9630932,0,-0.230849965,0,0,0,1.350262547,0,0.271540803,0,-1.488357662,0,1.908878473,0,0,0
Vmn2r67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhd1,-0.209071457,0.97021,2.004878483,0,0.505211939,0.92782,-1.004626046,0,0.242334101,0,-1.974461864,0,-0.973965094,0,0.549199672,0
Klf4,0.671328853,0.21837,0.044731702,0.97346,0.190679748,0.94631,0.759957697,0.21702,-0.121568985,0.81612,0.488920354,0.22775,-0.213186251,0.85734,-0.764722053,0.51769
Ap1m1,0.289689732,0.085479,0.216476563,0.66199,-0.185825906,0.90316,-0.09628903,0.77858,-0.269185946,0.25331,-0.213688419,0.24526,-0.074717075,0.89791,-0.149050681,0.94361
Cdkn1b,-0.106426299,0.78139,-0.288485214,0.46629,0.002298206,0.99925,-0.141753549,0.61515,-0.041349095,0.88307,0.123167446,0.52208,0.04454204,0.92405,0.203049492,0.89259
Rab8a,-0.119356868,0.54632,0.034542099,0.95394,-0.059698509,0.95618,0.049692845,0.87531,-0.126337133,0.44772,-0.296834057,0.050894,0.167769191,0.57553,0.072644917,0.97938
Hmgn2,-0.109856546,0.89964,-0.334734326,0.70346,-0.074737025,0.96039,0.347591395,0.50389,0.850786658,0.05439,1.056410295,6.90E-09,0.676580558,0.20115,0.270026537,0.84531
Fam32a,0.074093478,0.89174,-0.073214812,0.92571,0.085617001,0.96855,0.178355638,0.72389,0.535176504,0.050764,0.665458484,0.00000507,0.077421908,0.92448,-0.001231505,0.99843
Kcna3,0.562874219,0,-0.693834561,0,0.091821919,0,-0.100344033,0,0.555638489,0,1.789838385,0.27655,-0.303950169,0,-0.095954977,0
Gm11510,2.35698243,0,1.421149688,0,1.178430991,0,-1.622684408,0,-0.826381602,0,0.131047601,0,-1.889060493,0,0.930175826,0
Gm12017,-1.235627054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12837,3.100777586,0.18539,0.333252616,0.92636,0.134142272,0.98559,1.134740874,0.36565,0.127222186,0,2.87875526,0.053986,-0.151874549,0,-1.138660519,0
Gm11270,0,0,1.318385823,0,0,0,0,0,0,0,0,0,0,0,0,0
Gp5,-0.414834009,0.92411,-0.204529587,0,-0.145149335,0,0.47223915,0,-0.232967687,0,-0.460746691,0.73666,1.088092483,0,0.488596714,0
Rpl10a-ps1,0.300753574,0.71296,-0.388616024,0.70508,0.291354839,0.93923,0.316169062,0.60839,0.429236151,0.38235,1.098122413,0.0024165,0.01417881,0.99256,0.003195862,0.998
Wdr5b,-0.088554342,0.95655,-0.043132408,0.97875,0.010207768,0.99743,-0.029113678,0.97118,0.301441974,0.50701,0.237550656,0.58578,-0.06985958,0.94974,-0.014469944,0.99615
Dak,-0.219245451,0.45731,-0.033027102,0.97875,0.167174945,0.95321,-0.621970987,0.17095,-0.97358616,0.0000755,-1.176969559,0.0000141,0.363936236,0.67021,1.170731406,0.039425
Tulp4,0.079613585,0.8348,0.033533405,0.96611,0.018352435,0.98887,-0.086802085,0.81908,0.042948821,0.84256,0.07303075,0.76952,-0.132641501,0.68382,-0.011974579,0.9968
