GeneName,log2FoldChange(WTC_kvsKOC_k),padj(WTC_kvsKOC_k),log2FoldChange(WTKvsKOK),padj(WTKvsKOK),log2FoldChange(WTC_k24vsKOC_k24),padj(WTC_k24vsKOC_k24),log2FoldChange(WTK24vsKOK24),padj(WTK24vsKOK24),log2FoldChange(KOC_kvsKOK),padj(KOC_kvsKOK),log2FoldChange(WTC_kvsWTK),padj(WTC_kvsWTK),log2FoldChange(KOC_k24vsKOK24),padj(KOC_k24vsKOK24),log2FoldChange(WTC_k24vsWTK24),padj(WTC_k24vsWTK24)
Zranb2,-0.036215424,0.95012,-0.198218111,0.72476,0.297546505,0.82621,0.041607117,0.93215,0.155158558,0.41034,0.298819476,0.16817,-0.154004146,0.77977,0.115098946,0.97252
Lrriq3,0.64114433,0.58609,-0.213286884,0.86978,0.237108381,0.92674,0.884834498,0.021436,0.120859376,0.87575,0.955102306,0.037109,0.210739501,0.7734,-0.422992228,0.86567
Dnase2b,-0.052355749,0.94108,-0.166207538,0.7853,-0.260805533,0.89012,0.18534515,0.54247,-0.657914711,0.0010537,-0.560925182,0.0028352,-0.049903177,0.94771,-0.481387516,0.41472
Lphn2,-0.04623513,0.95438,0.238268751,0.74178,-0.35335451,0.85041,-0.192028801,0.6941,-0.461931221,0.10431,-0.761606577,0.00039154,-0.338307557,0.38177,-0.483251488,0.74561
Rpf1,-0.198736976,0.50217,0.023042175,0.9726,-0.107617498,0.9349,0.074763772,0.82871,0.212158086,0.26834,-0.025560194,0.9148,0.040850482,0.94771,-0.127029718,0.93839
Uox,-0.096251504,0.84532,0.066833571,0.92325,0.161366392,0.88986,0.442345721,0.017755,-0.466883973,0.020396,-0.646126086,0.00034193,0.140657908,0.74927,-0.125462023,0.90906
Ctbs,-0.110026905,0.88772,-0.273481617,0.57127,0.170372488,0.93725,0.183831217,0.50118,0.12067597,0.65568,0.26664822,0.30607,0.352114227,0.44919,0.352951774,0.79369
Spata1,-0.131432288,0.91916,-0.006442438,0.99536,-0.07072698,0.96764,0.083436691,0.87723,0.601946143,0.20492,0.45707149,0.23205,0.219775935,0.73831,0.080014347,0.98919
Ptprh,2.438373706,0,-0.233766012,0,1.145929591,0,-0.848217255,0,-0.911545195,0,1.735135909,0,-1.876793983,0,0.131873065,0
Mageb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam170a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sap30bp,-0.202673543,0.41393,-0.001154485,0.99844,-0.1759026,0.91045,0.044910044,0.88791,-0.060603922,0.81651,-0.278836543,0.077645,0.024835993,0.96314,-0.181595628,0.90834
Recql5,0.052794122,0.93696,0.124355231,0.80221,0.019214079,0.98911,-0.308495239,0.41011,-0.0644864,0.80149,-0.15279833,0.39205,-0.14406154,0.82392,0.198756539,0.92084
Itgb4,0.837820642,0.47016,0.449721818,0.73708,0.725955382,0.79049,-0.155924689,0.89698,-0.346952316,0.69262,0.019315237,0.96307,-1.001105988,0.27822,-0.105250494,0.99097
Ahnak,0.135840917,0.81007,-0.226102857,0.7444,0.06339041,0.97907,0.12221362,0.76247,0.401685066,0.1745,0.746344183,0.00016455,-0.153804921,0.7047,-0.197887901,0.94361
Nlrp1a,-0.55052116,0,-0.33408618,0,0.625657379,0,-2.601115527,0,1.036905751,0,0.809654644,0,-3.036434081,0,0.195065923,0
Atp6v0d2,-0.542340737,0.79993,-1.970951866,0.0019049,-1.244266485,0.78096,0.290305328,0.72284,-0.626792276,0.47485,0.781810969,0.22069,1.08151021,0.28282,-0.437387147,0.96139
Cdk10,-0.035765043,0.95056,0.127014822,0.77114,-0.058479851,0.97196,0.09992833,0.76881,0.101976996,0.60449,-0.078428423,0.67179,0.118051032,0.77612,-0.02510825,0.99447
Klf9,0.172908226,0.64906,0.132120243,0.87021,-0.14727826,0.91284,-0.163591777,0.70649,-0.135188083,0.66456,-0.108257426,0.69756,-0.094275072,0.85456,-0.061731587,0.98919
Fgg,-0.320206619,0.037666,0.149426889,0.85196,-0.211270523,0.91802,-0.634372669,0.046205,-1.127108872,2.27E-08,-1.613068724,7.60E-18,-0.089123723,0.91655,0.34759786,0.8289
Sat2,-0.370920416,0.20859,-0.072651388,0.91656,0.165206726,0.91556,0.326830652,0.23086,-0.000275607,0.98825,-0.315869281,0.17309,0.390718465,0.16497,0.244093119,0.88138
Tgs1,0.089892343,0.8747,0.016495156,0.9795,-0.103092267,0.94161,0.138174177,0.63166,0.264511403,0.14082,0.319418613,0.14312,0.073602001,0.8856,-0.152633653,0.92893
Tmem68,-0.272357041,0.34593,-0.230191073,0.7224,0.071333471,0.97907,0.26563782,0.50197,0.402487999,0.20673,0.343090617,0.06654,0.215220048,0.70146,0.035736297,0.99611
Sdr16c5,1.19069157,0.76793,2.329155593,0.22447,-0.272074591,0,2.351116055,0,1.347157821,0,0.194313972,0,1.645942408,0,-0.971262926,0
Rps20,-0.085969334,0.8221,-0.187133225,0.85272,0.245332902,0.91284,0.233437381,0.55059,0.369454039,0.30693,0.452266796,0.047922,0.057431879,0.94703,0.082788837,0.98787
Olfr779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ackr2,-0.223330042,0.82675,-0.284663962,0.76059,-1.580362025,0.0088518,-1.247808758,0.0069732,-0.271811195,0.63407,-0.227878456,0.46341,-0.690363346,0.41502,-1.008566262,0.15618
Rps2,-0.106950567,0.77512,-0.42389862,0.59142,0.403984631,0.85765,0.390442906,0.43219,0.561541917,0.14562,0.859449588,0.0000572,0.236546535,0.74927,0.26273881,0.94125
Gm10231,0.49276852,0,0,0,1.28684757,0,1.433751536,0,-0.415918597,0,0,0,-1.520131509,0,-1.636066073,0
Gm21645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nop56,-0.139086599,0.74363,0.051422717,0.94126,-0.170802171,0.91587,-0.226178598,0.30309,0.292409346,0.20292,0.084517181,0.70389,-0.04138537,0.94921,0.030449966,0.99379
Snrpb,-0.026196145,0.96685,0.156856602,0.80544,-0.158515741,0.91818,-0.051477488,0.87531,-0.356993382,0.12442,-0.557735821,0.00095727,0.089424973,0.89435,-0.001848102,0.99967
Olfr1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idh3b,0.176640364,0.22814,0.144645727,0.6693,0.141263139,0.8521,0.498942434,0.00019685,0.15252355,0.349,0.16668086,0.20658,0.196647424,0.41136,-0.146164363,0.84909
Tgm3,-0.187490682,0,2.61628051,0.65679,-0.558380036,0,3.678205812,0,3.304803999,0.029192,0.473723309,0.93317,2.971067019,0,-1.26535448,0
Pdyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tgm6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700020A23Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cpxm1,-0.222210046,0.92924,-0.61583534,0.64263,-1.46479487,0.32272,1.073626926,0.20805,-0.163618278,0.87926,0.214683464,0.74338,1.004409946,0,-1.519749838,0.22419
Stk4,-0.067590659,0.87883,0.004006886,0.9929,-0.209904593,0.87185,-0.269030483,0.44301,-0.124687101,0.60032,-0.213015037,0.21661,-0.256143582,0.47274,-0.181523033,0.93839
Cnr1,0,0,0,0,0,0,0,0,2.010293973,0,0,0,0,0,0,0
Gm1821,-0.105837139,0.94843,-0.134416711,0.88146,-0.19970704,0.91587,0.116483996,0.82696,-0.063006171,0.91352,-0.05094842,0.89729,0.100007956,0.91185,-0.20022623,0.93839
Olfr221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nrn1l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrd,-0.469657783,0.028096,-0.213162192,0.74053,0.461585004,0.73009,-0.25950624,0.43403,0.057739749,0.8477,-0.21706585,0.42991,-0.21772044,0.68087,0.518323097,0.47875
Gm13299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12976,-1.27259416,0,-0.166466781,0,1.749515491,0,-0.449526511,0,-0.686676024,0,-1.792615988,0,-2.120102404,0,0.092548651,0
C030037D09Rik,0.156152032,0.939,0.061666405,0.97837,-0.283369795,0.91896,-0.203499627,0.7985,-1.369957522,0.0094731,-1.291767773,0.034062,-0.7503651,0.44851,-0.814327203,0.30106
Gm15202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500017E21Rik,0.221912418,0.64149,-0.008847692,0.99376,1.512130376,0.79527,0.048596741,0.9484,1.14350541,0.00027177,1.3583194,4.91E-12,-0.329767133,0.85962,1.147564944,0.84369
Ccdc142os,0.136793276,0.9741,-0.238421994,0.92756,0.290289216,0.94231,0.154121407,0,0.07088578,0,0.427910482,0.69319,-0.867185355,0,-0.713419646,0
Defb50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmed9,-0.189897638,0.54243,0.009057463,0.98968,-0.093919738,0.95321,-0.349290489,0.081157,-0.546988136,0.003505,-0.765462946,0.00000196,0.247256724,0.55366,0.51766061,0.11501
Gm2531,-0.023427958,0,0.196606411,0,-0.086125421,0,-0.227133491,0,0.768570703,0,0.540417303,0,-0.369714655,0,-0.209795624,0
Gm5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erap1,0.005456382,0.99195,-0.070539553,0.93051,0.056874777,0.97713,-0.213102905,0.45494,-0.298884314,0.26476,-0.23965965,0.19431,0.069481387,0.89804,0.354453074,0.73012
Gm829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcsk1,0,0,0,0,0,0,0,0,-0.208485732,0,0,0,0,0,0,0
Cast,0.048605847,0.91506,-0.003439178,0.99661,-0.266437846,0.79922,-0.034470624,0.93448,-0.081210701,0.72958,-0.046165406,0.83657,-0.107290943,0.82392,-0.322961042,0.68543
Rhobtb3,-0.085648329,0.91783,-0.010038754,0.98784,0.316681364,0.78811,0.206907695,0.60374,0.460191618,0.076839,0.365281244,0.16497,0.117154789,0.83789,0.240665482,0.88864
Gm17611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17249,0.378929843,0.78139,-0.461611995,0.68357,0.135494023,0.97139,-0.460029671,0.63195,0.0012974,0.99861,0.823740389,0.068726,-0.079586679,0.96394,0.529970395,0.88138
Rpl31-ps24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6410,1.83568383,0,0.968641942,0,-0.711179634,0,0.678969703,0,-0.70954591,0,0.129139732,0,2.177778494,0,0.798531629,0
Vwa3a,2.465846919,0,-0.671492163,0,-0.941291616,0.85418,-0.745881221,0,0.386313925,0,3.526352454,0,-0.221869699,0,-0.404735413,0
Rrp8,0.002164381,0.99793,0.160404724,0.76033,-0.15236031,0.90535,-0.017734218,0.96817,0.223805589,0.33515,0.049081609,0.85591,-0.039938821,0.94943,-0.159762483,0.90022
4930579M01Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp652os,0.688923991,0,-2.039359933,0,0,0,0,0,-0.215255935,0,2.510167287,0.1011,0,0,-1.86081145,0
Gm13571,0,0,0,0,0,0,0,0,0,0,1.598181004,0,-2.435920728,0,0,0
Gm13976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arfip2,0.040444752,0.96046,-0.033897132,0.95925,0.07517127,0.94581,-0.196515087,0.54645,0.316768738,0.094591,0.373642687,0.050837,-0.221604654,0.48157,0.064547487,0.98447
Ppp6c,-0.048799283,0.89718,-0.04801372,0.91815,0.065922157,0.94457,0.097708921,0.76673,-0.029898032,0.87732,-0.04823224,0.76436,0.145795988,0.63994,0.12856792,0.93906
Psmb7,0.083267162,0.82601,0.204725723,0.56505,0.019217663,0.98911,0.119795083,0.671,0.163444277,0.48484,0.025004692,0.87357,0.274704175,0.16497,0.188273893,0.90022
Dnhd1,0.009317173,0.99481,-0.000846844,0.99567,0.490271517,0.8395,0.145398618,0.7934,0.195419824,0.61256,0.187502514,0.47371,-0.059801317,0.9613,0.30110747,0.92257
Uqcrc2,0.216963369,0.12191,0.161051212,0.67517,0.047965993,0.96647,0.427300119,0.010616,-0.013880996,0.95565,0.024926898,0.89937,0.25807231,0.25891,-0.106334627,0.95603
Golga1,-0.091335508,0.87068,-0.088456435,0.86317,0.105226516,0.9354,-0.343838649,0.18522,0.108766611,0.61308,0.088497134,0.68193,-0.330368689,0.27915,0.133523407,0.95536
Arpc5l,-0.068631027,0.8797,-0.165044016,0.8393,0.198009478,0.91243,0.068277667,0.89579,0.381828787,0.22825,0.459637905,0.010362,0.198074275,0.69669,0.340990519,0.81342
Mrpl49,-0.009934671,0.98552,0.317105633,0.22296,0.199578647,0.9053,0.275616362,0.14345,0.163999282,0.3841,-0.180710189,0.24286,0.167041386,0.54865,0.105273643,0.97544
Ddn,0,0,1.181853854,0,-0.98031676,0,1.379945016,0,0,0,0,0,0.693314843,0,-1.639236677,0
2700069I18Rik,-0.008161639,0.99649,-1.160680689,0,0.497051035,0.91374,0.652461773,0.58097,-1.005532218,0,0.135816348,0.91372,0.0585557,0,-0.08440235,0
Gm8661,0,0,-0.61723099,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16599,-3.546917626,0,2.932286839,0,-1.853143096,0,0,0,3.194874591,0,-3.309679602,0,0,0,0,0
4930412B13Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ubap1l,0.912883673,0.71296,-1.40043611,0,-2.116745294,0.60274,-2.049039055,0,-2.603932274,0,-0.31739208,0.82124,0.295614989,0,0.233495253,0
Syce2,0.068260598,0.94688,0.319733607,0.46923,0.309596174,0.80532,0.301220073,0.35606,0.4670143,0.06137,0.197623439,0.49214,0.045841318,0.94629,0.069000679,0.98911
Gm11605,0.374627945,0.91704,-0.146837849,0,0.9006711,0.87868,-0.427018017,0,-0.749383823,0,-0.244098709,0.83901,-0.660838826,0,0.682450716,0
Gm13532,0.000560835,0,0.86314065,0,2.853582075,0,1.312443863,0,1.068423274,0,0.174328315,0,0.225748187,0,1.782090829,0
Gm9439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rplp0-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13423,0.508340389,0.88823,-0.300368038,0,1.712430351,0,-0.149425149,0,-0.25769904,0,0.537128515,0.66855,-0.019707453,0,1.855826539,0
Gm14808,0,0,0,0,0,0,0,0,0,0,0,0,0.106008448,0,0,0
Gm21990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1810063I02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2610035F20Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bid,0.17934024,0.6845,-0.127101808,0.80297,0.151888388,0.92759,0.110678871,0.70892,0.077003274,0.77637,0.367050589,0.052962,0.241413397,0.64074,0.296483827,0.66192
Gm11959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930412C18Rik,-0.035770793,0.97531,0.134081718,0.8386,0.305691545,0.89142,0.236687295,0.49613,0.602803576,0.0037507,0.416557172,0.1433,0.249564287,0.70059,0.332790631,0.84639
Astx4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6684,0,0,0,0,1.593314416,0,0,0,0,0,0,0,0,0,0,0
Chst9,0,0,-1.691992369,0,0,0,0,0,-0.538355552,0,0,0,0,0,0,0
Tigd5,-0.112210506,0.95012,-0.563149003,0.4209,0.075811078,0.96666,-0.365193966,0.54247,-0.257721355,0.64625,0.177710403,0.69813,-0.238569221,0.75966,0.218360859,0.94837
Gm11906,0,0,-1.973557469,0,0.224645112,0,-0.156796159,0,0,0,1.053814761,0,-0.46820192,0,-0.063291077,0
Gm15342,-0.904047438,0.83839,-1.333335928,0,-0.581069852,0.9209,-0.509380765,0.78267,-0.645244933,0,-0.224185455,0.88829,0.434041668,0,0.381015587,0
Arhgap27os3,-0.067135391,0,-0.607487886,0,-0.247052896,0.9668,0.059093165,0,-0.278890627,0,0.244813126,0.90907,-0.949000268,0,-1.238722076,0
D030047H15Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15912,1.035859857,0.59065,0.58933756,0.76777,0.582357547,0.89142,1.242304838,0.22143,-0.263110069,0.80787,0.170901265,0.91287,0.220201678,0.90698,-0.429186238,0
Gm15229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm3848,0,0,0,0,1.218764272,0,-1.419397314,0,1.271540805,0,0,0,-1.32403765,0,1.321543162,0
2610507I01Rik,-0.005413021,0.99261,0.223423573,0.76777,0.335918767,0.85418,0.109978923,0.80861,0.274243668,0.32387,0.026709929,0.93298,-0.183204222,0.81324,0.056408885,0.98919
1700054M17Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12224,-1.390860147,0,1.264541608,0,0,0,0,0,1.73081622,0,-0.942053933,0,0,0,0,0
Hpgds,-0.198981559,0.93999,-0.20526124,0.88697,-1.449850415,0.54122,-0.881062585,0.21388,0.627704659,0.2996,0.613076377,0.31314,0.287854597,0.86261,-0.265036828,0.97739
Mrps33,-0.037107927,0.96255,-0.015430834,0.98913,0.158681122,0.94811,0.328617969,0.55824,0.766638692,0.047708,0.726316779,0.00024738,0.293001432,0.65528,0.136040626,0.98198
RP23-302C3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.037569685,0
Clec5a,1.090201948,0,-1.963662524,0,-0.029369976,0.99655,0.294027833,0,-1.009728893,0,2.018834742,0.19986,0.157557309,0,-0.149247492,0
C130060K24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agk,-0.126607092,0.83991,0.592088156,0.22079,0.050256543,0.98169,0.220132665,0.71165,-0.047600277,0.92243,-0.782327185,0.0021692,-0.029978165,0.96719,-0.184303642,0.97055
Ssbp1,-0.027657546,0.97228,0.061416521,0.93725,0.245984813,0.88118,0.365817852,0.24608,0.414677525,0.1355,0.308884568,0.088117,0.228233066,0.68899,0.122479787,0.9642
Mad2l1,0.433358962,0.53626,0.203994384,0.86726,-0.307752482,0.9354,-0.187699336,0.82569,-0.148946237,0.78191,0.061798603,0.89086,0.06062439,0.96801,-0.046117052,0.99379
Prdm5,-0.084696029,0,-0.240288135,0,-0.87051834,0.91115,1.129176781,0,1.172990556,0,1.31520658,0,0.630250532,0,-1.351429081,0
Cd82,-0.176282618,0.48382,0.116696579,0.87406,0.023119899,0.99013,0.052010093,0.86885,-0.513842508,0.033353,-0.824228141,0.000000666,0.216460381,0.65174,0.201871346,0.9249
Gm17467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prss16,0,0,0,0,0,0,0,0,-0.106728024,0,0,0,2.074104808,0,0,0
Gm21171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edaradd,-0.543859858,0.86267,0.306608184,0,-1.034454084,0.91284,0.141601582,0,0.237018859,0,-0.634715469,0.57505,0.792374214,0,-0.36694444,0
Esp15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vmn2r-ps10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm20574,0.629516285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tor1b,0.141294187,0.76053,-0.246073372,0.53177,-0.475590326,0.053779,-0.108136903,0.7369,0.21530578,0.32084,0.585877573,0.00066675,-0.224237175,0.52677,-0.57685617,0.0044608
Gm8919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyhin1,0.360445244,0.75495,-0.615136943,0.49409,0.200508086,0.96185,-0.597670996,0.38787,-0.089117409,0.8768,0.867621798,0.055024,-0.443184824,0.77533,0.367550598,0.90733
Uevld,-0.054547428,0.93221,0.123501218,0.8091,0.235177812,0.87591,-0.057039984,0.90288,-0.172655287,0.44195,-0.368205958,0.026303,-0.151450155,0.74758,0.155469343,0.95884
Gm26915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26916,-0.528960897,0.65883,0.031893734,0.98588,0.920205308,0.62589,0.554936019,0.31645,0.606120576,0.34098,0.028621608,0.9834,0.026462185,0.98584,0.407082443,0.88133
Olfr1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abl1,-0.096615841,0.85581,-0.151989871,0.81011,0.113331259,0.93606,-0.232241386,0.59549,-0.002586472,0.99797,0.03459389,0.87521,-0.306123606,0.4757,0.054983924,0.98919
Plekhj1,-0.135170704,0.76354,-0.03249612,0.96542,0.188125105,0.90313,-0.08631235,0.86418,0.054434906,0.85691,-0.066521977,0.78666,0.194769793,0.60778,0.482957006,0.53915
Agtr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmem30b,0.043815833,0.92812,0.171828942,0.72802,-0.250519685,0.86633,-0.012478737,0.9764,-0.42326686,0.059786,-0.569075268,9.96E-08,-0.073096099,0.92508,-0.296735399,0.43436
Gm9761,1.747501191,0,0.567725877,0,0.218259957,0.97392,-0.654612459,0,0.415368393,0,1.578061132,0,-0.597219531,0,0.287831158,0
Zxdc,0.106902427,0.88243,-0.061851696,0.92742,-0.155739115,0.91587,-0.226902462,0.48699,-0.291299411,0.24064,-0.138824386,0.5711,-0.015095102,0.9795,0.071206705,0.98198
Cops8,-0.040317182,0.94474,0.192468911,0.62713,-0.18888247,0.89142,0.062175934,0.84335,-0.051268697,0.81772,-0.300337822,0.059796,0.034167499,0.95571,-0.202402605,0.85052
Gm8534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14521,0,0,-1.202193488,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gbp8,-0.146528259,0.94156,-0.547144652,0.35921,-1.088831847,0.26383,-1.124875391,0.033733,0.025907112,0.96776,0.408581855,0.38337,0.066898126,0.95507,0.120136567,0.98919
Gm14706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rps8-ps2,-1.220373402,0,0.633673096,0,1.822502386,0,0,0,1.830998367,0,-0.020998087,0,0,0,0.878427373,0
Gm7682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH36-433A18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cst7,0.864946331,0,-0.093188552,0,0.295709093,0,-1.352872437,0,-1.270006265,0,-0.334459124,0,-0.949037436,0,0.714823795,0
Kdm4d,-0.531678415,0,-0.889319254,0,-2.08349787,0,0.052318663,0,0.394283643,0,0.743800285,0,-0.702002118,0,-2.824287954,0
Nanp,-0.371392601,0.92636,-0.087538037,0.966,-0.272540474,0.96329,-0.571994431,0,0.635133219,0,0.332932142,0.70694,-0.029874788,0,0.28060378,0
Wfdc2,0.182594336,0.91219,-0.269526319,0.81664,-0.007664485,0.99646,-0.128660451,0.9011,-0.695959549,0.27742,-0.264154224,0.43272,-0.301985916,0.76584,-0.166344659,0.98133
Pigt,0.028789487,0.95634,0.355119278,0.57127,-0.286306693,0.90745,-0.438508483,0.28837,-0.847527498,0.00027766,-1.190135925,1.53E-09,-0.1268567,0.87895,0.041459868,0.99418
Trp53tg5,1.251594092,0,-2.686738199,0,-0.91805032,0,-0.395990311,0,-2.922794568,0,0.983886169,0,0.5893655,0,0.077628684,0
Etv4,1.21220646,0.38114,0.333278782,0.88905,0.338224315,0.94546,0.941025293,0,0.326500475,0.78048,1.181491386,0.14883,-0.118634849,0,-0.707394795,0
Lpo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mpo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppt2,-0.165783844,0.68052,0.058461098,0.93315,-0.266370655,0.83871,0.122464245,0.73415,-0.542127414,0.015253,-0.783705587,0.0000066,0.218434347,0.67641,-0.155361861,0.92454
Prrt1,-0.704591007,0.74104,-0.467876425,0.82941,-0.857194559,0.84007,-1.37768219,0,0.786800756,0,0.53137317,0.51904,-0.83216092,0,-0.293818338,0.97125
Prkcg,-0.200627788,0.96799,0.704885396,0.78161,0.236679821,0.97373,-1.085334312,0,1.324179367,0,0.395671339,0.76084,-1.471236577,0,-0.131914805,0
Nlrp12,1.565228422,9.21E-10,0.070708367,0.9264,-0.331650472,0.88956,0.149665132,0.77792,0.795006971,0.018214,2.275006517,4.54E-31,0.122768524,0.85035,-0.344428067,0.90327
Cacng6,0,0,0,0,2.825425937,0.8344,0,0,0,0,0,0,0,0,0,0
Eif5a,-0.061538914,0.87032,0.039168159,0.94385,-0.20958327,0.8509,0.215367041,0.30966,-0.07346023,0.75348,-0.19134187,0.14545,0.27376214,0.29379,-0.13639127,0.93367
Rnf5,-0.208470004,0.2618,0.147875262,0.76389,0.136838407,0.9209,0.11317077,0.63096,0.048931548,0.82844,-0.32441003,0.0557,0.127567093,0.73414,0.16571013,0.91567
Gp6,0,0,0,0,0,0,0.794982516,0,1.271540805,0,0,0,0,0,0,0
RP24-89G21.3,-0.363249376,0,-0.724303459,0,0,0,0,0,-1.29817199,0,-0.938620592,0,0,0,0,0
RP23-152O2.3,0.188110338,0.94564,-0.59088099,0.69156,-0.052580641,0.98587,0.4918402,0.65878,-0.193002039,0.83628,0.563306593,0.36367,-0.169504843,0.92098,-0.697920969,0.81942
Dcun1d3,0.109248837,0.84757,-0.395733646,0.50221,0.049678679,0.98559,-0.0004043,0.99829,0.316732642,0.21638,0.805889574,0.0016168,-0.026907082,0.98038,0.039778733,0.99379
RP23-152C21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-178B2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-535E21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-470G12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vmn1r-ps34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-155F12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-413C10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-32C18.5,0.883492715,0.55142,-0.19707415,0.92607,-1.253821047,0.76341,-1.184854174,0.30302,0.261398594,0.80002,1.323565971,0.043238,-0.233376232,0,-0.289574061,0.97938
